# Export File Created with QBlade CE v2.0.9.7b_beta windows on 16.08.2026 at 11:34:35
Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13
Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm]
2.5000000e+00;2.7882386e-02;2.5000000e+00;3.8439337e-02;2.5000000e+00;5.1231716e-02;2.5000000e+00;6.7822561e-02;2.5000000e+00;8.8553056e-02;2.5000000e+00;1.0874104e-01;2.5000000e+00;1.2724330e-01;2.5000000e+00;1.4375699e-01;2.5000000e+00;1.5714048e-01;2.5000000e+00;1.6553673e-01;2.5000000e+00;1.6624859e-01;2.5000000e+00;1.7953274e-01;2.5000000e+00;2.1874988e-01;2.5000000e+00;2.4252367e-01;2.5000000e+00;2.6730555e-01;2.5000000e+00;2.7343413e-01;2.5000000e+00;2.6574725e-01;2.5000000e+00;2.5189823e-01
7.5000000e+00;2.7208984e-02;7.5000000e+00;3.6462858e-02;7.5000000e+00;5.0795741e-02;7.5000000e+00;6.7633837e-02;7.5000000e+00;8.6507954e-02;7.5000000e+00;1.0710894e-01;7.5000000e+00;1.2576738e-01;7.5000000e+00;1.4461507e-01;7.5000000e+00;1.5914141e-01;7.5000000e+00;1.6732384e-01;7.5000000e+00;1.6999251e-01;7.5000000e+00;1.8298003e-01;7.5000000e+00;2.2209719e-01;7.5000000e+00;2.4362835e-01;7.5000000e+00;2.6783839e-01;7.5000000e+00;2.7341315e-01;7.5000000e+00;2.6557621e-01;7.5000000e+00;2.5167167e-01
1.2500000e+01;2.8501753e-02;1.2500000e+01;3.7579462e-02;1.2500000e+01;4.9905930e-02;1.2500000e+01;6.5296359e-02;1.2500000e+01;8.1829011e-02;1.2500000e+01;9.9247724e-02;1.2500000e+01;1.2080759e-01;1.2500000e+01;1.4184660e-01;1.2500000e+01;1.5956222e-01;1.2500000e+01;1.6924217e-01;1.2500000e+01;1.7256723e-01;1.2500000e+01;1.8753490e-01;1.2500000e+01;2.2451755e-01;1.2500000e+01;2.4593300e-01;1.2500000e+01;2.6785117e-01;1.2500000e+01;2.7290639e-01;1.2500000e+01;2.6480633e-01;1.2500000e+01;2.5086594e-01
1.7500000e+01;2.9728604e-02;1.7500000e+01;3.8608484e-02;1.7500000e+01;4.9612865e-02;1.7500000e+01;6.1450779e-02;1.7500000e+01;7.6171376e-02;1.7500000e+01;9.5351592e-02;1.7500000e+01;1.1522840e-01;1.7500000e+01;1.3439900e-01;1.7500000e+01;1.5705265e-01;1.7500000e+01;1.7056878e-01;1.7500000e+01;1.7679688e-01;1.7500000e+01;1.9091830e-01;1.7500000e+01;2.2969979e-01;1.7500000e+01;2.4811020e-01;1.7500000e+01;2.6838839e-01;1.7500000e+01;2.7244070e-01;1.7500000e+01;2.6399145e-01;1.7500000e+01;2.4988428e-01
2.2500000e+01;2.8982630e-02;2.2500000e+01;3.7234541e-02;2.2500000e+01;4.7908425e-02;2.2500000e+01;6.0710695e-02;2.2500000e+01;7.6054841e-02;2.2500000e+01;9.1988221e-02;2.2500000e+01;1.1021496e-01;2.2500000e+01;1.3111648e-01;2.2500000e+01;1.4976920e-01;2.2500000e+01;1.6830647e-01;2.2500000e+01;1.7878641e-01;2.2500000e+01;1.9513568e-01;2.2500000e+01;2.3319536e-01;2.2500000e+01;2.5097507e-01;2.2500000e+01;2.6899695e-01;2.2500000e+01;2.7204150e-01;2.2500000e+01;2.6318616e-01;2.2500000e+01;2.4895443e-01
2.7500000e+01;2.6539996e-02;2.7500000e+01;3.6189146e-02;2.7500000e+01;4.8356056e-02;2.7500000e+01;6.1551139e-02;2.7500000e+01;7.5500228e-02;2.7500000e+01;9.1630369e-02;2.7500000e+01;1.0908435e-01;2.7500000e+01;1.2693614e-01;2.7500000e+01;1.4733055e-01;2.7500000e+01;1.6366130e-01;2.7500000e+01;1.7823118e-01;2.7500000e+01;1.9858339e-01;2.7500000e+01;2.3695572e-01;2.7500000e+01;2.5498366e-01;2.7500000e+01;2.7065301e-01;2.7500000e+01;2.7207029e-01;2.7500000e+01;2.6273710e-01;2.7500000e+01;2.4826530e-01
3.2500000e+01;2.6273508e-02;3.2500000e+01;3.5510227e-02;3.2500000e+01;4.7806904e-02;3.2500000e+01;6.1335288e-02;3.2500000e+01;7.6692015e-02;3.2500000e+01;9.3405098e-02;3.2500000e+01;1.1042086e-01;3.2500000e+01;1.2701900e-01;3.2500000e+01;1.4482021e-01;3.2500000e+01;1.6237479e-01;3.2500000e+01;1.7515679e-01;3.2500000e+01;1.9926752e-01;3.2500000e+01;2.4030168e-01;3.2500000e+01;2.5924826e-01;3.2500000e+01;2.7297512e-01;3.2500000e+01;2.7246112e-01;3.2500000e+01;2.6259765e-01;3.2500000e+01;2.4791059e-01
3.7500000e+01;2.6032543e-02;3.7500000e+01;3.5174407e-02;3.7500000e+01;4.7148570e-02;3.7500000e+01;6.1419807e-02;3.7500000e+01;7.8736246e-02;3.7500000e+01;9.5202923e-02;3.7500000e+01;1.1070999e-01;3.7500000e+01;1.2782171e-01;3.7500000e+01;1.4729764e-01;3.7500000e+01;1.6080993e-01;3.7500000e+01;1.7442463e-01;3.7500000e+01;1.9741747e-01;3.7500000e+01;2.4227908e-01;3.7500000e+01;2.6306534e-01;3.7500000e+01;2.7566332e-01;3.7500000e+01;2.7333659e-01;3.7500000e+01;2.6278082e-01;3.7500000e+01;2.4790296e-01
4.2500000e+01;2.6028514e-02;4.2500000e+01;3.6065638e-02;4.2500000e+01;4.8584256e-02;4.2500000e+01;6.3141093e-02;4.2500000e+01;7.9018027e-02;4.2500000e+01;9.6581340e-02;4.2500000e+01;1.1296175e-01;4.2500000e+01;1.3019966e-01;4.2500000e+01;1.4824383e-01;4.2500000e+01;1.6280273e-01;4.2500000e+01;1.7474949e-01;4.2500000e+01;1.9823638e-01;4.2500000e+01;2.4158514e-01;4.2500000e+01;2.6622462e-01;4.2500000e+01;2.7841601e-01;4.2500000e+01;2.7453744e-01;4.2500000e+01;2.6342604e-01;4.2500000e+01;2.4840149e-01
4.7500000e+01;2.6549809e-02;4.7500000e+01;3.6725182e-02;4.7500000e+01;4.9431399e-02;4.7500000e+01;6.4278208e-02;4.7500000e+01;7.9921104e-02;4.7500000e+01;9.8155253e-02;4.7500000e+01;1.1622004e-01;4.7500000e+01;1.3132387e-01;4.7500000e+01;1.4774166e-01;4.7500000e+01;1.6388360e-01;4.7500000e+01;1.7614745e-01;4.7500000e+01;2.0067164e-01;4.7500000e+01;2.4139196e-01;4.7500000e+01;2.6949295e-01;4.7500000e+01;2.8096068e-01;4.7500000e+01;2.7610558e-01;4.7500000e+01;2.6464558e-01;4.7500000e+01;2.4952488e-01
