# Export File Created with QBlade CE v2.0.9.7b_beta windows on 13.08.2026 at 15:00:12
Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13;Blade_NACA_0013_Circ45_Sol0.35 Simulation 3.13
Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm]
2.5000000e+00;-1.1997279e-03;2.5000000e+00;2.1754303e-03;2.5000000e+00;9.6228151e-03;2.5000000e+00;2.0198952e-02;2.5000000e+00;3.4837045e-02;2.5000000e+00;5.3795539e-02;2.5000000e+00;7.4585937e-02;2.5000000e+00;9.4897851e-02;2.5000000e+00;1.1649188e-01;2.5000000e+00;1.1577989e-01;2.5000000e+00;8.4925689e-02;2.5000000e+00;1.5971139e-01;2.5000000e+00;1.8737820e-01;2.5000000e+00;2.1380435e-01;2.5000000e+00;2.5377360e-01;2.5000000e+00;2.4584445e-01;2.5000000e+00;2.2421244e-01;2.5000000e+00;1.9629285e-01;2.5000000e+00;-1.1997279e-03;2.5000000e+00;2.1754303e-03;2.5000000e+00;9.6228151e-03;2.5000000e+00;2.0198952e-02;2.5000000e+00;3.4837045e-02;2.5000000e+00;5.3795539e-02;2.5000000e+00;7.4585937e-02;2.5000000e+00;9.4897851e-02;2.5000000e+00;1.1649188e-01;2.5000000e+00;1.1577989e-01;2.5000000e+00;8.4925689e-02;2.5000000e+00;1.5971139e-01;2.5000000e+00;1.8737820e-01;2.5000000e+00;2.1380435e-01;2.5000000e+00;2.5377360e-01;2.5000000e+00;2.4584445e-01;2.5000000e+00;2.2421244e-01;2.5000000e+00;1.9629285e-01
7.5000000e+00;2.8571275e-03;7.5000000e+00;6.7461147e-03;7.5000000e+00;1.4232771e-02;7.5000000e+00;2.5467260e-02;7.5000000e+00;4.0781789e-02;7.5000000e+00;5.9436828e-02;7.5000000e+00;7.9957977e-02;7.5000000e+00;1.0102762e-01;7.5000000e+00;1.2142558e-01;7.5000000e+00;1.1716051e-01;7.5000000e+00;9.3789592e-02;7.5000000e+00;1.7348060e-01;7.5000000e+00;2.0212901e-01;7.5000000e+00;2.2544548e-01;7.5000000e+00;2.4836659e-01;7.5000000e+00;2.3545887e-01;7.5000000e+00;2.1222416e-01;7.5000000e+00;1.8404742e-01;7.5000000e+00;2.8571275e-03;7.5000000e+00;6.7461147e-03;7.5000000e+00;1.4232771e-02;7.5000000e+00;2.5467260e-02;7.5000000e+00;4.0781789e-02;7.5000000e+00;5.9436828e-02;7.5000000e+00;7.9957977e-02;7.5000000e+00;1.0102762e-01;7.5000000e+00;1.2142558e-01;7.5000000e+00;1.1716051e-01;7.5000000e+00;9.3789592e-02;7.5000000e+00;1.7348060e-01;7.5000000e+00;2.0212901e-01;7.5000000e+00;2.2544548e-01;7.5000000e+00;2.4836659e-01;7.5000000e+00;2.3545887e-01;7.5000000e+00;2.1222416e-01;7.5000000e+00;1.8404742e-01
1.2500000e+01;1.1747895e-02;1.2500000e+01;1.6762545e-02;1.2500000e+01;2.5228260e-02;1.2500000e+01;3.7838086e-02;1.2500000e+01;5.3660728e-02;1.2500000e+01;7.2118118e-02;1.2500000e+01;9.2754692e-02;1.2500000e+01;1.1487551e-01;1.2500000e+01;1.3222696e-01;1.2500000e+01;1.2469571e-01;1.2500000e+01;1.1700689e-01;1.2500000e+01;1.9634748e-01;1.2500000e+01;2.2253799e-01;1.2500000e+01;2.4214357e-01;1.2500000e+01;2.4759331e-01;1.2500000e+01;2.2948590e-01;1.2500000e+01;2.0458972e-01;1.2500000e+01;1.7620169e-01;1.2500000e+01;1.1747895e-02;1.2500000e+01;1.6762545e-02;1.2500000e+01;2.5228260e-02;1.2500000e+01;3.7838086e-02;1.2500000e+01;5.3660728e-02;1.2500000e+01;7.2118118e-02;1.2500000e+01;9.2754692e-02;1.2500000e+01;1.1487551e-01;1.2500000e+01;1.3222696e-01;1.2500000e+01;1.2469571e-01;1.2500000e+01;1.1700689e-01;1.2500000e+01;1.9634748e-01;1.2500000e+01;2.2253799e-01;1.2500000e+01;2.4214357e-01;1.2500000e+01;2.4759331e-01;1.2500000e+01;2.2948590e-01;1.2500000e+01;2.0458972e-01;1.2500000e+01;1.7620169e-01
1.7500000e+01;2.1962358e-02;1.7500000e+01;2.9757887e-02;1.7500000e+01;4.1071229e-02;1.7500000e+01;5.5434607e-02;1.7500000e+01;7.2301723e-02;1.7500000e+01;9.0795040e-02;1.7500000e+01;1.1262573e-01;1.7500000e+01;1.3470125e-01;1.7500000e+01;1.4911094e-01;1.7500000e+01;1.3944747e-01;1.7500000e+01;1.4998934e-01;1.7500000e+01;2.2538474e-01;1.7500000e+01;2.4775827e-01;1.7500000e+01;2.6245502e-01;1.7500000e+01;2.5046155e-01;1.7500000e+01;2.2770083e-01;1.7500000e+01;2.0124951e-01;1.7500000e+01;1.7266461e-01;1.7500000e+01;2.1962358e-02;1.7500000e+01;2.9757887e-02;1.7500000e+01;4.1071229e-02;1.7500000e+01;5.5434607e-02;1.7500000e+01;7.2301723e-02;1.7500000e+01;9.0795040e-02;1.7500000e+01;1.1262573e-01;1.7500000e+01;1.3470125e-01;1.7500000e+01;1.4911094e-01;1.7500000e+01;1.3944747e-01;1.7500000e+01;1.4998934e-01;1.7500000e+01;2.2538474e-01;1.7500000e+01;2.4775827e-01;1.7500000e+01;2.6245502e-01;1.7500000e+01;2.5046155e-01;1.7500000e+01;2.2770083e-01;1.7500000e+01;2.0124951e-01;1.7500000e+01;1.7266461e-01
2.2500000e+01;2.4557745e-02;2.2500000e+01;3.8641617e-02;2.2500000e+01;5.5737808e-02;2.2500000e+01;7.4011728e-02;2.2500000e+01;9.3063250e-02;2.2500000e+01;1.1340503e-01;2.2500000e+01;1.3721165e-01;2.2500000e+01;1.5910494e-01;2.2500000e+01;1.6880921e-01;2.2500000e+01;1.6166247e-01;2.2500000e+01;1.9038236e-01;2.2500000e+01;2.5762004e-01;2.2500000e+01;2.7359506e-01;2.2500000e+01;2.7950329e-01;2.2500000e+01;2.5532353e-01;2.2500000e+01;2.2895274e-01;2.2500000e+01;2.0117304e-01;2.2500000e+01;1.7245372e-01;2.2500000e+01;2.4557745e-02;2.2500000e+01;3.8641617e-02;2.2500000e+01;5.5737808e-02;2.2500000e+01;7.4011728e-02;2.2500000e+01;9.3063250e-02;2.2500000e+01;1.1340503e-01;2.2500000e+01;1.3721165e-01;2.2500000e+01;1.5910494e-01;2.2500000e+01;1.6880921e-01;2.2500000e+01;1.6166247e-01;2.2500000e+01;1.9038236e-01;2.2500000e+01;2.5762004e-01;2.2500000e+01;2.7359506e-01;2.2500000e+01;2.7950329e-01;2.2500000e+01;2.5532353e-01;2.2500000e+01;2.2895274e-01;2.2500000e+01;2.0117304e-01;2.2500000e+01;1.7245372e-01
2.7500000e+01;2.5670137e-02;2.7500000e+01;3.9233930e-02;2.7500000e+01;5.9758909e-02;2.7500000e+01;8.4896557e-02;2.7500000e+01;1.1010157e-01;2.7500000e+01;1.3614272e-01;2.7500000e+01;1.6226158e-01;2.7500000e+01;1.8274945e-01;2.7500000e+01;1.9084729e-01;2.7500000e+01;1.8825421e-01;2.7500000e+01;2.3296113e-01;2.7500000e+01;2.8870660e-01;2.7500000e+01;3.0046183e-01;2.7500000e+01;2.9180557e-01;2.7500000e+01;2.6070571e-01;2.7500000e+01;2.3179947e-01;2.7500000e+01;2.0307407e-01;2.7500000e+01;1.7415957e-01;2.7500000e+01;2.5670137e-02;2.7500000e+01;3.9233930e-02;2.7500000e+01;5.9758909e-02;2.7500000e+01;8.4896557e-02;2.7500000e+01;1.1010157e-01;2.7500000e+01;1.3614272e-01;2.7500000e+01;1.6226158e-01;2.7500000e+01;1.8274945e-01;2.7500000e+01;1.9084729e-01;2.7500000e+01;1.8825421e-01;2.7500000e+01;2.3296113e-01;2.7500000e+01;2.8870660e-01;2.7500000e+01;3.0046183e-01;2.7500000e+01;2.9180557e-01;2.7500000e+01;2.6070571e-01;2.7500000e+01;2.3179947e-01;2.7500000e+01;2.0307407e-01;2.7500000e+01;1.7415957e-01
3.2500000e+01;3.0558094e-02;3.2500000e+01;4.2055316e-02;3.2500000e+01;6.1684780e-02;3.2500000e+01;8.5281089e-02;3.2500000e+01;1.1515675e-01;3.2500000e+01;1.4978094e-01;3.2500000e+01;1.8162835e-01;3.2500000e+01;2.0311873e-01;3.2500000e+01;2.1038693e-01;3.2500000e+01;2.1867338e-01;3.2500000e+01;2.7525029e-01;3.2500000e+01;3.1728151e-01;3.2500000e+01;3.2183641e-01;3.2500000e+01;2.9919356e-01;3.2500000e+01;2.6504982e-01;3.2500000e+01;2.3477037e-01;3.2500000e+01;2.0546427e-01;3.2500000e+01;1.7643519e-01;3.2500000e+01;3.0558094e-02;3.2500000e+01;4.2055316e-02;3.2500000e+01;6.1684780e-02;3.2500000e+01;8.5281089e-02;3.2500000e+01;1.1515675e-01;3.2500000e+01;1.4978094e-01;3.2500000e+01;1.8162835e-01;3.2500000e+01;2.0311873e-01;3.2500000e+01;2.1038693e-01;3.2500000e+01;2.1867338e-01;3.2500000e+01;2.7525029e-01;3.2500000e+01;3.1728151e-01;3.2500000e+01;3.2183641e-01;3.2500000e+01;2.9919356e-01;3.2500000e+01;2.6504982e-01;3.2500000e+01;2.3477037e-01;3.2500000e+01;2.0546427e-01;3.2500000e+01;1.7643519e-01
3.7500000e+01;3.7531715e-02;3.7500000e+01;4.7672756e-02;3.7500000e+01;6.5323561e-02;3.7500000e+01;8.6962745e-02;3.7500000e+01;1.1616860e-01;3.7500000e+01;1.4983514e-01;3.7500000e+01;1.8652415e-01;3.7500000e+01;2.1306625e-01;3.7500000e+01;2.2706512e-01;3.7500000e+01;2.4904872e-01;3.7500000e+01;3.1232065e-01;3.7500000e+01;3.4050182e-01;3.7500000e+01;3.3238745e-01;3.7500000e+01;3.0242705e-01;3.7500000e+01;2.6792797e-01;3.7500000e+01;2.3711987e-01;3.7500000e+01;2.0749003e-01;3.7500000e+01;1.7834091e-01;3.7500000e+01;3.7531715e-02;3.7500000e+01;4.7672756e-02;3.7500000e+01;6.5323561e-02;3.7500000e+01;8.6962745e-02;3.7500000e+01;1.1616860e-01;3.7500000e+01;1.4983514e-01;3.7500000e+01;1.8652415e-01;3.7500000e+01;2.1306625e-01;3.7500000e+01;2.2706512e-01;3.7500000e+01;2.4904872e-01;3.7500000e+01;3.1232065e-01;3.7500000e+01;3.4050182e-01;3.7500000e+01;3.3238745e-01;3.7500000e+01;3.0242705e-01;3.7500000e+01;2.6792797e-01;3.7500000e+01;2.3711987e-01;3.7500000e+01;2.0749003e-01;3.7500000e+01;1.7834091e-01
4.2500000e+01;4.0537689e-02;4.2500000e+01;5.4168165e-02;4.2500000e+01;7.2425917e-02;4.2500000e+01;9.1196701e-02;4.2500000e+01;1.1641742e-01;4.2500000e+01;1.4871854e-01;4.2500000e+01;1.8092284e-01;4.2500000e+01;2.0706645e-01;4.2500000e+01;2.3640068e-01;4.2500000e+01;2.7654052e-01;4.2500000e+01;3.3967075e-01;4.2500000e+01;3.5232961e-01;4.2500000e+01;3.3569750e-01;4.2500000e+01;3.0360603e-01;4.2500000e+01;2.7000755e-01;4.2500000e+01;2.3925836e-01;4.2500000e+01;2.0958152e-01;4.2500000e+01;1.8029265e-01;4.2500000e+01;4.0537689e-02;4.2500000e+01;5.4168165e-02;4.2500000e+01;7.2425917e-02;4.2500000e+01;9.1196701e-02;4.2500000e+01;1.1641742e-01;4.2500000e+01;1.4871854e-01;4.2500000e+01;1.8092284e-01;4.2500000e+01;2.0706645e-01;4.2500000e+01;2.3640068e-01;4.2500000e+01;2.7654052e-01;4.2500000e+01;3.3967075e-01;4.2500000e+01;3.5232961e-01;4.2500000e+01;3.3569750e-01;4.2500000e+01;3.0360603e-01;4.2500000e+01;2.7000755e-01;4.2500000e+01;2.3925836e-01;4.2500000e+01;2.0958152e-01;4.2500000e+01;1.8029265e-01
4.7500000e+01;4.3311864e-02;4.7500000e+01;6.0224161e-02;4.7500000e+01;7.7628538e-02;4.7500000e+01;9.6635312e-02;4.7500000e+01;1.1932212e-01;4.7500000e+01;1.4599326e-01;4.7500000e+01;1.7209673e-01;4.7500000e+01;1.9704470e-01;4.7500000e+01;2.3197359e-01;4.7500000e+01;2.9582545e-01;4.7500000e+01;3.5058975e-01;4.7500000e+01;3.5420716e-01;4.7500000e+01;3.3519956e-01;4.7500000e+01;3.0467838e-01;4.7500000e+01;2.7285832e-01;4.7500000e+01;2.4267934e-01;4.7500000e+01;2.1306385e-01;4.7500000e+01;1.8361053e-01;4.7500000e+01;4.3311864e-02;4.7500000e+01;6.0224161e-02;4.7500000e+01;7.7628538e-02;4.7500000e+01;9.6635312e-02;4.7500000e+01;1.1932212e-01;4.7500000e+01;1.4599326e-01;4.7500000e+01;1.7209673e-01;4.7500000e+01;1.9704470e-01;4.7500000e+01;2.3197359e-01;4.7500000e+01;2.9582545e-01;4.7500000e+01;3.5058975e-01;4.7500000e+01;3.5420716e-01;4.7500000e+01;3.3519956e-01;4.7500000e+01;3.0467838e-01;4.7500000e+01;2.7285832e-01;4.7500000e+01;2.4267934e-01;4.7500000e+01;2.1306385e-01;4.7500000e+01;1.8361053e-01
