# Export File Created with QBlade CE v2.0.9.7b_beta windows on 14.08.2026 at 20:55:53
Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13;Blade_NACA_0021_Circ0_Sol0.35 Simulation 3.13
Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm]
2.5000000e+00;-2.9946098e-02;2.5000000e+00;-3.2452065e-02;2.5000000e+00;-3.1683490e-02;2.5000000e+00;-2.8100943e-02;2.5000000e+00;-2.1351628e-02;2.5000000e+00;-1.1413616e-02;2.5000000e+00;3.9967708e-04;2.5000000e+00;1.4157321e-02;2.5000000e+00;2.9613364e-02;2.5000000e+00;3.5972990e-02;2.5000000e+00;4.5658384e-02;2.5000000e+00;7.8029037e-02;2.5000000e+00;1.2515560e-01;2.5000000e+00;1.5692961e-01;2.5000000e+00;1.7168526e-01;2.5000000e+00;1.5513468e-01;2.5000000e+00;1.3078235e-01;2.5000000e+00;1.0134210e-01;2.5000000e+00;-2.9946098e-02;2.5000000e+00;-3.2452065e-02;2.5000000e+00;-3.1683490e-02;2.5000000e+00;-2.8100943e-02;2.5000000e+00;-2.1351628e-02;2.5000000e+00;-1.1413616e-02;2.5000000e+00;3.9967708e-04;2.5000000e+00;1.4157321e-02;2.5000000e+00;2.9613364e-02;2.5000000e+00;3.5972990e-02;2.5000000e+00;4.5658384e-02;2.5000000e+00;7.8029037e-02;2.5000000e+00;1.2515560e-01;2.5000000e+00;1.5692961e-01;2.5000000e+00;1.7168526e-01;2.5000000e+00;1.5513468e-01;2.5000000e+00;1.3078235e-01;2.5000000e+00;1.0134210e-01;2.5000000e+00;-2.9946098e-02;2.5000000e+00;-3.2452065e-02;2.5000000e+00;-3.1683490e-02;2.5000000e+00;-2.8100943e-02;2.5000000e+00;-2.1351628e-02;2.5000000e+00;-1.1413616e-02;2.5000000e+00;3.9967708e-04;2.5000000e+00;1.4157321e-02;2.5000000e+00;2.9613364e-02;2.5000000e+00;3.5972990e-02;2.5000000e+00;4.5658384e-02;2.5000000e+00;7.8029037e-02;2.5000000e+00;1.2515560e-01;2.5000000e+00;1.5692961e-01;2.5000000e+00;1.7168526e-01;2.5000000e+00;1.5513468e-01;2.5000000e+00;1.3078235e-01;2.5000000e+00;1.0134210e-01
7.5000000e+00;-2.2286698e-02;7.5000000e+00;-2.4483284e-02;7.5000000e+00;-2.3396801e-02;7.5000000e+00;-1.9501761e-02;7.5000000e+00;-1.2496792e-02;7.5000000e+00;-2.4225647e-03;7.5000000e+00;9.4928145e-03;7.5000000e+00;2.3059165e-02;7.5000000e+00;3.8551375e-02;7.5000000e+00;4.2303950e-02;7.5000000e+00;5.5886965e-02;7.5000000e+00;9.7488925e-02;7.5000000e+00;1.4044815e-01;7.5000000e+00;1.6881737e-01;7.5000000e+00;1.7413154e-01;7.5000000e+00;1.5080538e-01;7.5000000e+00;1.2259886e-01;7.5000000e+00;9.2257664e-02;7.5000000e+00;-2.2286698e-02;7.5000000e+00;-2.4483284e-02;7.5000000e+00;-2.3396801e-02;7.5000000e+00;-1.9501761e-02;7.5000000e+00;-1.2496792e-02;7.5000000e+00;-2.4225647e-03;7.5000000e+00;9.4928145e-03;7.5000000e+00;2.3059165e-02;7.5000000e+00;3.8551375e-02;7.5000000e+00;4.2303950e-02;7.5000000e+00;5.5886965e-02;7.5000000e+00;9.7488925e-02;7.5000000e+00;1.4044815e-01;7.5000000e+00;1.6881737e-01;7.5000000e+00;1.7413154e-01;7.5000000e+00;1.5080538e-01;7.5000000e+00;1.2259886e-01;7.5000000e+00;9.2257664e-02;7.5000000e+00;-2.2286698e-02;7.5000000e+00;-2.4483284e-02;7.5000000e+00;-2.3396801e-02;7.5000000e+00;-1.9501761e-02;7.5000000e+00;-1.2496792e-02;7.5000000e+00;-2.4225647e-03;7.5000000e+00;9.4928145e-03;7.5000000e+00;2.3059165e-02;7.5000000e+00;3.8551375e-02;7.5000000e+00;4.2303950e-02;7.5000000e+00;5.5886965e-02;7.5000000e+00;9.7488925e-02;7.5000000e+00;1.4044815e-01;7.5000000e+00;1.6881737e-01;7.5000000e+00;1.7413154e-01;7.5000000e+00;1.5080538e-01;7.5000000e+00;1.2259886e-01;7.5000000e+00;9.2257664e-02
1.2500000e+01;-6.8083634e-03;1.2500000e+01;-8.2046296e-03;1.2500000e+01;-6.3735018e-03;1.2500000e+01;-1.8202167e-03;1.2500000e+01;5.8027599e-03;1.2500000e+01;1.6183726e-02;1.2500000e+01;2.8329005e-02;1.2500000e+01;4.2060144e-02;1.2500000e+01;5.6263886e-02;1.2500000e+01;5.8015708e-02;1.2500000e+01;7.6667354e-02;1.2500000e+01;1.3384752e-01;1.2500000e+01;1.7236844e-01;1.2500000e+01;1.9009519e-01;1.2500000e+01;1.8042107e-01;1.2500000e+01;1.5356885e-01;1.2500000e+01;1.2197116e-01;1.2500000e+01;9.1032237e-02;1.2500000e+01;-6.8083634e-03;1.2500000e+01;-8.2046296e-03;1.2500000e+01;-6.3735018e-03;1.2500000e+01;-1.8202167e-03;1.2500000e+01;5.8027599e-03;1.2500000e+01;1.6183726e-02;1.2500000e+01;2.8329005e-02;1.2500000e+01;4.2060144e-02;1.2500000e+01;5.6263886e-02;1.2500000e+01;5.8015708e-02;1.2500000e+01;7.6667354e-02;1.2500000e+01;1.3384752e-01;1.2500000e+01;1.7236844e-01;1.2500000e+01;1.9009519e-01;1.2500000e+01;1.8042107e-01;1.2500000e+01;1.5356885e-01;1.2500000e+01;1.2197116e-01;1.2500000e+01;9.1032237e-02;1.2500000e+01;-6.8083634e-03;1.2500000e+01;-8.2046296e-03;1.2500000e+01;-6.3735018e-03;1.2500000e+01;-1.8202167e-03;1.2500000e+01;5.8027599e-03;1.2500000e+01;1.6183726e-02;1.2500000e+01;2.8329005e-02;1.2500000e+01;4.2060144e-02;1.2500000e+01;5.6263886e-02;1.2500000e+01;5.8015708e-02;1.2500000e+01;7.6667354e-02;1.2500000e+01;1.3384752e-01;1.2500000e+01;1.7236844e-01;1.2500000e+01;1.9009519e-01;1.2500000e+01;1.8042107e-01;1.2500000e+01;1.5356885e-01;1.2500000e+01;1.2197116e-01;1.2500000e+01;9.1032237e-02
1.7500000e+01;1.4112433e-02;1.7500000e+01;1.5804252e-02;1.7500000e+01;1.8829487e-02;1.7500000e+01;2.4312181e-02;1.7500000e+01;3.2754295e-02;1.7500000e+01;4.3398220e-02;1.7500000e+01;5.5781610e-02;1.7500000e+01;6.9993377e-02;1.7500000e+01;7.7681005e-02;1.7500000e+01;8.5471444e-02;1.7500000e+01;1.1980139e-01;1.7500000e+01;1.7302611e-01;1.7500000e+01;2.0645283e-01;1.7500000e+01;2.1083589e-01;1.7500000e+01;1.9233488e-01;1.7500000e+01;1.6073680e-01;1.7500000e+01;1.2804928e-01;1.7500000e+01;9.6406452e-02;1.7500000e+01;1.4112433e-02;1.7500000e+01;1.5804252e-02;1.7500000e+01;1.8829487e-02;1.7500000e+01;2.4312181e-02;1.7500000e+01;3.2754295e-02;1.7500000e+01;4.3398220e-02;1.7500000e+01;5.5781610e-02;1.7500000e+01;6.9993377e-02;1.7500000e+01;7.7681005e-02;1.7500000e+01;8.5471444e-02;1.7500000e+01;1.1980139e-01;1.7500000e+01;1.7302611e-01;1.7500000e+01;2.0645283e-01;1.7500000e+01;2.1083589e-01;1.7500000e+01;1.9233488e-01;1.7500000e+01;1.6073680e-01;1.7500000e+01;1.2804928e-01;1.7500000e+01;9.6406452e-02;1.7500000e+01;1.4112433e-02;1.7500000e+01;1.5804252e-02;1.7500000e+01;1.8829487e-02;1.7500000e+01;2.4312181e-02;1.7500000e+01;3.2754295e-02;1.7500000e+01;4.3398220e-02;1.7500000e+01;5.5781610e-02;1.7500000e+01;6.9993377e-02;1.7500000e+01;7.7681005e-02;1.7500000e+01;8.5471444e-02;1.7500000e+01;1.1980139e-01;1.7500000e+01;1.7302611e-01;1.7500000e+01;2.0645283e-01;1.7500000e+01;2.1083589e-01;1.7500000e+01;1.9233488e-01;1.7500000e+01;1.6073680e-01;1.7500000e+01;1.2804928e-01;1.7500000e+01;9.6406452e-02
2.2500000e+01;2.7444120e-02;2.2500000e+01;3.3515710e-02;2.2500000e+01;4.2612221e-02;2.2500000e+01;5.4032221e-02;2.2500000e+01;6.6556379e-02;2.2500000e+01;7.7961989e-02;2.2500000e+01;9.0584025e-02;2.2500000e+01;1.0378765e-01;2.2500000e+01;1.0758086e-01;2.2500000e+01;1.2266974e-01;2.2500000e+01;1.7616978e-01;2.2500000e+01;2.1996011e-01;2.2500000e+01;2.3932010e-01;2.2500000e+01;2.3375630e-01;2.2500000e+01;2.0642675e-01;2.2500000e+01;1.7256597e-01;2.2500000e+01;1.3890013e-01;2.2500000e+01;1.0554951e-01;2.2500000e+01;2.7444120e-02;2.2500000e+01;3.3515710e-02;2.2500000e+01;4.2612221e-02;2.2500000e+01;5.4032221e-02;2.2500000e+01;6.6556379e-02;2.2500000e+01;7.7961989e-02;2.2500000e+01;9.0584025e-02;2.2500000e+01;1.0378765e-01;2.2500000e+01;1.0758086e-01;2.2500000e+01;1.2266974e-01;2.2500000e+01;1.7616978e-01;2.2500000e+01;2.1996011e-01;2.2500000e+01;2.3932010e-01;2.2500000e+01;2.3375630e-01;2.2500000e+01;2.0642675e-01;2.2500000e+01;1.7256597e-01;2.2500000e+01;1.3890013e-01;2.2500000e+01;1.0554951e-01;2.2500000e+01;2.7444120e-02;2.2500000e+01;3.3515710e-02;2.2500000e+01;4.2612221e-02;2.2500000e+01;5.4032221e-02;2.2500000e+01;6.6556379e-02;2.2500000e+01;7.7961989e-02;2.2500000e+01;9.0584025e-02;2.2500000e+01;1.0378765e-01;2.2500000e+01;1.0758086e-01;2.2500000e+01;1.2266974e-01;2.2500000e+01;1.7616978e-01;2.2500000e+01;2.1996011e-01;2.2500000e+01;2.3932010e-01;2.2500000e+01;2.3375630e-01;2.2500000e+01;2.0642675e-01;2.2500000e+01;1.7256597e-01;2.2500000e+01;1.3890013e-01;2.2500000e+01;1.0554951e-01
2.7500000e+01;3.2505020e-02;2.7500000e+01;4.4156320e-02;2.7500000e+01;5.7413630e-02;2.7500000e+01;7.2090983e-02;2.7500000e+01;8.9184776e-02;2.7500000e+01;1.0755289e-01;2.7500000e+01;1.2718999e-01;2.7500000e+01;1.3667218e-01;2.7500000e+01;1.4549401e-01;2.7500000e+01;1.8150553e-01;2.7500000e+01;2.3332193e-01;2.7500000e+01;2.6163176e-01;2.7500000e+01;2.6877242e-01;2.7500000e+01;2.5551039e-01;2.7500000e+01;2.2200003e-01;2.7500000e+01;1.8651509e-01;2.7500000e+01;1.5166718e-01;2.7500000e+01;1.1168426e-01;2.7500000e+01;3.2505020e-02;2.7500000e+01;4.4156320e-02;2.7500000e+01;5.7413630e-02;2.7500000e+01;7.2090983e-02;2.7500000e+01;8.9184776e-02;2.7500000e+01;1.0755289e-01;2.7500000e+01;1.2718999e-01;2.7500000e+01;1.3667218e-01;2.7500000e+01;1.4549401e-01;2.7500000e+01;1.8150553e-01;2.7500000e+01;2.3332193e-01;2.7500000e+01;2.6163176e-01;2.7500000e+01;2.6877242e-01;2.7500000e+01;2.5551039e-01;2.7500000e+01;2.2200003e-01;2.7500000e+01;1.8651509e-01;2.7500000e+01;1.5166718e-01;2.7500000e+01;1.1168426e-01;2.7500000e+01;3.2505020e-02;2.7500000e+01;4.4156320e-02;2.7500000e+01;5.7413630e-02;2.7500000e+01;7.2090983e-02;2.7500000e+01;8.9184776e-02;2.7500000e+01;1.0755289e-01;2.7500000e+01;1.2718999e-01;2.7500000e+01;1.3667218e-01;2.7500000e+01;1.4549401e-01;2.7500000e+01;1.8150553e-01;2.7500000e+01;2.3332193e-01;2.7500000e+01;2.6163176e-01;2.7500000e+01;2.6877242e-01;2.7500000e+01;2.5551039e-01;2.7500000e+01;2.2200003e-01;2.7500000e+01;1.8651509e-01;2.7500000e+01;1.5166718e-01;2.7500000e+01;1.1168426e-01
3.2500000e+01;2.3616493e-02;3.2500000e+01;4.1939367e-02;3.2500000e+01;6.3358054e-02;3.2500000e+01;8.3972387e-02;3.2500000e+01;1.0488161e-01;3.2500000e+01;1.2578340e-01;3.2500000e+01;1.4370085e-01;3.2500000e+01;1.6001230e-01;3.2500000e+01;1.9301146e-01;3.2500000e+01;2.3729393e-01;3.2500000e+01;2.8174078e-01;3.2500000e+01;2.9703361e-01;3.2500000e+01;2.9390240e-01;3.2500000e+01;2.7535620e-01;3.2500000e+01;2.3766080e-01;3.2500000e+01;1.9797900e-01;3.2500000e+01;1.5412168e-01;3.2500000e+01;1.0977036e-01;3.2500000e+01;2.3616493e-02;3.2500000e+01;4.1939367e-02;3.2500000e+01;6.3358054e-02;3.2500000e+01;8.3972387e-02;3.2500000e+01;1.0488161e-01;3.2500000e+01;1.2578340e-01;3.2500000e+01;1.4370085e-01;3.2500000e+01;1.6001230e-01;3.2500000e+01;1.9301146e-01;3.2500000e+01;2.3729393e-01;3.2500000e+01;2.8174078e-01;3.2500000e+01;2.9703361e-01;3.2500000e+01;2.9390240e-01;3.2500000e+01;2.7535620e-01;3.2500000e+01;2.3766080e-01;3.2500000e+01;1.9797900e-01;3.2500000e+01;1.5412168e-01;3.2500000e+01;1.0977036e-01;3.2500000e+01;2.3616493e-02;3.2500000e+01;4.1939367e-02;3.2500000e+01;6.3358054e-02;3.2500000e+01;8.3972387e-02;3.2500000e+01;1.0488161e-01;3.2500000e+01;1.2578340e-01;3.2500000e+01;1.4370085e-01;3.2500000e+01;1.6001230e-01;3.2500000e+01;1.9301146e-01;3.2500000e+01;2.3729393e-01;3.2500000e+01;2.8174078e-01;3.2500000e+01;2.9703361e-01;3.2500000e+01;2.9390240e-01;3.2500000e+01;2.7535620e-01;3.2500000e+01;2.3766080e-01;3.2500000e+01;1.9797900e-01;3.2500000e+01;1.5412168e-01;3.2500000e+01;1.0977036e-01
3.7500000e+01;2.1707049e-02;3.7500000e+01;3.0106060e-02;3.7500000e+01;5.4343861e-02;3.7500000e+01;8.3063908e-02;3.7500000e+01;1.1190648e-01;3.7500000e+01;1.3524887e-01;3.7500000e+01;1.5603200e-01;3.7500000e+01;1.8818302e-01;3.7500000e+01;2.2424094e-01;3.7500000e+01;2.7029839e-01;3.7500000e+01;3.0651224e-01;3.7500000e+01;3.2361898e-01;3.7500000e+01;3.1463668e-01;3.7500000e+01;2.8857201e-01;3.7500000e+01;2.4224429e-01;3.7500000e+01;1.9683361e-01;3.7500000e+01;1.5250327e-01;3.7500000e+01;1.0705761e-01;3.7500000e+01;2.1707049e-02;3.7500000e+01;3.0106060e-02;3.7500000e+01;5.4343861e-02;3.7500000e+01;8.3063908e-02;3.7500000e+01;1.1190648e-01;3.7500000e+01;1.3524887e-01;3.7500000e+01;1.5603200e-01;3.7500000e+01;1.8818302e-01;3.7500000e+01;2.2424094e-01;3.7500000e+01;2.7029839e-01;3.7500000e+01;3.0651224e-01;3.7500000e+01;3.2361898e-01;3.7500000e+01;3.1463668e-01;3.7500000e+01;2.8857201e-01;3.7500000e+01;2.4224429e-01;3.7500000e+01;1.9683361e-01;3.7500000e+01;1.5250327e-01;3.7500000e+01;1.0705761e-01;3.7500000e+01;2.1707049e-02;3.7500000e+01;3.0106060e-02;3.7500000e+01;5.4343861e-02;3.7500000e+01;8.3063908e-02;3.7500000e+01;1.1190648e-01;3.7500000e+01;1.3524887e-01;3.7500000e+01;1.5603200e-01;3.7500000e+01;1.8818302e-01;3.7500000e+01;2.2424094e-01;3.7500000e+01;2.7029839e-01;3.7500000e+01;3.0651224e-01;3.7500000e+01;3.2361898e-01;3.7500000e+01;3.1463668e-01;3.7500000e+01;2.8857201e-01;3.7500000e+01;2.4224429e-01;3.7500000e+01;1.9683361e-01;3.7500000e+01;1.5250327e-01;3.7500000e+01;1.0705761e-01
4.2500000e+01;2.8066132e-02;4.2500000e+01;3.3793509e-02;4.2500000e+01;4.4099644e-02;4.2500000e+01;6.7646116e-02;4.2500000e+01;9.9350959e-02;4.2500000e+01;1.3412318e-01;4.2500000e+01;1.7223936e-01;4.2500000e+01;2.0331727e-01;4.2500000e+01;2.3893705e-01;4.2500000e+01;2.8425503e-01;4.2500000e+01;3.1258446e-01;4.2500000e+01;3.2037514e-01;4.2500000e+01;3.1232381e-01;4.2500000e+01;2.8705475e-01;4.2500000e+01;2.4127892e-01;4.2500000e+01;1.9656539e-01;4.2500000e+01;1.5204988e-01;4.2500000e+01;1.0598635e-01;4.2500000e+01;2.8066132e-02;4.2500000e+01;3.3793509e-02;4.2500000e+01;4.4099644e-02;4.2500000e+01;6.7646116e-02;4.2500000e+01;9.9350959e-02;4.2500000e+01;1.3412318e-01;4.2500000e+01;1.7223936e-01;4.2500000e+01;2.0331727e-01;4.2500000e+01;2.3893705e-01;4.2500000e+01;2.8425503e-01;4.2500000e+01;3.1258446e-01;4.2500000e+01;3.2037514e-01;4.2500000e+01;3.1232381e-01;4.2500000e+01;2.8705475e-01;4.2500000e+01;2.4127892e-01;4.2500000e+01;1.9656539e-01;4.2500000e+01;1.5204988e-01;4.2500000e+01;1.0598635e-01;4.2500000e+01;2.8066132e-02;4.2500000e+01;3.3793509e-02;4.2500000e+01;4.4099644e-02;4.2500000e+01;6.7646116e-02;4.2500000e+01;9.9350959e-02;4.2500000e+01;1.3412318e-01;4.2500000e+01;1.7223936e-01;4.2500000e+01;2.0331727e-01;4.2500000e+01;2.3893705e-01;4.2500000e+01;2.8425503e-01;4.2500000e+01;3.1258446e-01;4.2500000e+01;3.2037514e-01;4.2500000e+01;3.1232381e-01;4.2500000e+01;2.8705475e-01;4.2500000e+01;2.4127892e-01;4.2500000e+01;1.9656539e-01;4.2500000e+01;1.5204988e-01;4.2500000e+01;1.0598635e-01
4.7500000e+01;2.9565470e-02;4.7500000e+01;4.1775919e-02;4.7500000e+01;5.0971456e-02;4.7500000e+01;6.0489878e-02;4.7500000e+01;8.2171813e-02;4.7500000e+01;1.2348279e-01;4.7500000e+01;1.6279864e-01;4.7500000e+01;2.0190690e-01;4.7500000e+01;2.4373874e-01;4.7500000e+01;2.8378099e-01;4.7500000e+01;3.0179840e-01;4.7500000e+01;3.0463034e-01;4.7500000e+01;2.9736972e-01;4.7500000e+01;2.7385807e-01;4.7500000e+01;2.4027246e-01;4.7500000e+01;1.9812317e-01;4.7500000e+01;1.5345132e-01;4.7500000e+01;1.0685550e-01;4.7500000e+01;2.9565470e-02;4.7500000e+01;4.1775919e-02;4.7500000e+01;5.0971456e-02;4.7500000e+01;6.0489878e-02;4.7500000e+01;8.2171813e-02;4.7500000e+01;1.2348279e-01;4.7500000e+01;1.6279864e-01;4.7500000e+01;2.0190690e-01;4.7500000e+01;2.4373874e-01;4.7500000e+01;2.8378099e-01;4.7500000e+01;3.0179840e-01;4.7500000e+01;3.0463034e-01;4.7500000e+01;2.9736972e-01;4.7500000e+01;2.7385807e-01;4.7500000e+01;2.4027246e-01;4.7500000e+01;1.9812317e-01;4.7500000e+01;1.5345132e-01;4.7500000e+01;1.0685550e-01;4.7500000e+01;2.9565470e-02;4.7500000e+01;4.1775919e-02;4.7500000e+01;5.0971456e-02;4.7500000e+01;6.0489878e-02;4.7500000e+01;8.2171813e-02;4.7500000e+01;1.2348279e-01;4.7500000e+01;1.6279864e-01;4.7500000e+01;2.0190690e-01;4.7500000e+01;2.4373874e-01;4.7500000e+01;2.8378099e-01;4.7500000e+01;3.0179840e-01;4.7500000e+01;3.0463034e-01;4.7500000e+01;2.9736972e-01;4.7500000e+01;2.7385807e-01;4.7500000e+01;2.4027246e-01;4.7500000e+01;1.9812317e-01;4.7500000e+01;1.5345132e-01;4.7500000e+01;1.0685550e-01
