# Export File Created with QBlade CE v2.0.9.7b_beta windows on 16.08.2026 at 12:14:19
Blade_NACA_0021_Circ15_Sol0.25 Simulation;Blade_NACA_0021_Circ15_Sol0.30 Simulation;Blade_NACA_0021_Circ15_Sol0.35 Simulation;Blade_NACA_0021_Circ15_Sol0.95 Simulation;Blade_NACA_0021_Circ20_Sol0.40 Simulation;Blade_NACA_0021_Circ55_Sol1.05 Simulation;[TSR_0.000];Blade_NACA_0021_Circ15_Sol0.25 Simulation;Blade_NACA_0021_Circ15_Sol0.30 Simulation;Blade_NACA_0021_Circ15_Sol0.35 Simulation;Blade_NACA_0021_Circ15_Sol0.95 Simulation;Blade_NACA_0021_Circ20_Sol0.40 Simulation;Blade_NACA_0021_Circ55_Sol1.05 Simulation;[TSR_0.000];Blade_NACA_0021_Circ15_Sol0.25 Simulation;Blade_NACA_0021_Circ15_Sol0.30 Simulation;Blade_NACA_0021_Circ15_Sol0.35 Simulation;Blade_NACA_0021_Circ15_Sol0.95 Simulation;Blade_NACA_0021_Circ20_Sol0.40 Simulation;Blade_NACA_0021_Circ55_Sol1.05 Simulation;[TSR_0.000];Blade_NACA_0021_Circ15_Sol0.25 Simulation;Blade_NACA_0021_Circ15_Sol0.30 Simulation;Blade_NACA_0021_Circ15_Sol0.35 Simulation;Blade_NACA_0021_Circ15_Sol0.95 Simulation;Blade_NACA_0021_Circ20_Sol0.40 Simulation;Blade_NACA_0021_Circ55_Sol1.05 Simulation;[TSR_0.000];Blade_NACA_0021_Circ15_Sol0.25 Simulation;Blade_NACA_0021_Circ15_Sol0.30 Simulation;Blade_NACA_0021_Circ15_Sol0.35 Simulation;Blade_NACA_0021_Circ15_Sol0.95 Simulation;Blade_NACA_0021_Circ20_Sol0.40 Simulation;Blade_NACA_0021_Circ55_Sol1.05 Simulation;[TSR_0.000];Blade_NACA_0021_Circ15_Sol0.25 Simulation;Blade_NACA_0021_Circ15_Sol0.30 Simulation;Blade_NACA_0021_Circ15_Sol0.35 Simulation;Blade_NACA_0021_Circ15_Sol0.95 Simulation;Blade_NACA_0021_Circ20_Sol0.40 Simulation;Blade_NACA_0021_Circ55_Sol1.05 Simulation;[TSR_0.000]
Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-]
1.0000000e+00;5.7859244e-03;1.0000000e+00;5.5923550e-03;1.0000000e+00;5.0265826e-03;1.0000000e+00;-2.1024125e-02;1.0000000e+00;4.1153780e-03;1.0000000e+00;-2.6045423e-02;1.0000000e+00;-2.6045423e-02;1.0000000e+00;5.7859244e-03;1.0000000e+00;5.5923550e-03;1.0000000e+00;5.0265826e-03;1.0000000e+00;-2.1024125e-02;1.0000000e+00;4.1153780e-03;1.0000000e+00;-2.6045423e-02;1.0000000e+00;-2.6045423e-02;1.0000000e+00;5.7859244e-03;1.0000000e+00;5.5923550e-03;1.0000000e+00;5.0265826e-03;1.0000000e+00;-2.1024125e-02;1.0000000e+00;4.1153780e-03;1.0000000e+00;-2.6045423e-02;1.0000000e+00;-2.6045423e-02;1.0000000e+00;5.7859244e-03;1.0000000e+00;5.5923550e-03;1.0000000e+00;5.0265826e-03;1.0000000e+00;-2.1024125e-02;1.0000000e+00;4.1153780e-03;1.0000000e+00;-2.6045423e-02;1.0000000e+00;-2.6045423e-02;1.0000000e+00;5.7859244e-03;1.0000000e+00;5.5923550e-03;1.0000000e+00;5.0265826e-03;1.0000000e+00;-2.1024125e-02;1.0000000e+00;4.1153780e-03;1.0000000e+00;-2.6045423e-02;1.0000000e+00;-2.6045423e-02;1.0000000e+00;5.7859244e-03;1.0000000e+00;5.5923550e-03;1.0000000e+00;5.0265826e-03;1.0000000e+00;-2.1024125e-02;1.0000000e+00;4.1153780e-03;1.0000000e+00;-2.6045423e-02;1.0000000e+00;-2.6045423e-02
1.2000000e+00;9.7841546e-03;1.2000000e+00;9.8045953e-03;1.2000000e+00;9.2964731e-03;1.2000000e+00;-2.1063808e-02;1.2000000e+00;8.3002336e-03;1.2000000e+00;-2.6145520e-02;END;END;1.2000000e+00;9.7841546e-03;1.2000000e+00;9.8045953e-03;1.2000000e+00;9.2964731e-03;1.2000000e+00;-2.1063808e-02;1.2000000e+00;8.3002336e-03;1.2000000e+00;-2.6145520e-02;END;END;1.2000000e+00;9.7841546e-03;1.2000000e+00;9.8045953e-03;1.2000000e+00;9.2964731e-03;1.2000000e+00;-2.1063808e-02;1.2000000e+00;8.3002336e-03;1.2000000e+00;-2.6145520e-02;END;END;1.2000000e+00;9.7841546e-03;1.2000000e+00;9.8045953e-03;1.2000000e+00;9.2964731e-03;1.2000000e+00;-2.1063808e-02;1.2000000e+00;8.3002336e-03;1.2000000e+00;-2.6145520e-02;END;END;1.2000000e+00;9.7841546e-03;1.2000000e+00;9.8045953e-03;1.2000000e+00;9.2964731e-03;1.2000000e+00;-2.1063808e-02;1.2000000e+00;8.3002336e-03;1.2000000e+00;-2.6145520e-02;END;END;1.2000000e+00;9.7841546e-03;1.2000000e+00;9.8045953e-03;1.2000000e+00;9.2964731e-03;1.2000000e+00;-2.1063808e-02;1.2000000e+00;8.3002336e-03;1.2000000e+00;-2.6145520e-02;END;END
1.4000000e+00;1.5758669e-02;1.4000000e+00;1.6318617e-02;1.4000000e+00;1.6179761e-02;1.4000000e+00;-1.2337480e-02;1.4000000e+00;1.5401509e-02;1.4000000e+00;-1.5937774e-02;END;END;1.4000000e+00;1.5758669e-02;1.4000000e+00;1.6318617e-02;1.4000000e+00;1.6179761e-02;1.4000000e+00;-1.2337480e-02;1.4000000e+00;1.5401509e-02;1.4000000e+00;-1.5937774e-02;END;END;1.4000000e+00;1.5758669e-02;1.4000000e+00;1.6318617e-02;1.4000000e+00;1.6179761e-02;1.4000000e+00;-1.2337480e-02;1.4000000e+00;1.5401509e-02;1.4000000e+00;-1.5937774e-02;END;END;1.4000000e+00;1.5758669e-02;1.4000000e+00;1.6318617e-02;1.4000000e+00;1.6179761e-02;1.4000000e+00;-1.2337480e-02;1.4000000e+00;1.5401509e-02;1.4000000e+00;-1.5937774e-02;END;END;1.4000000e+00;1.5758669e-02;1.4000000e+00;1.6318617e-02;1.4000000e+00;1.6179761e-02;1.4000000e+00;-1.2337480e-02;1.4000000e+00;1.5401509e-02;1.4000000e+00;-1.5937774e-02;END;END;1.4000000e+00;1.5758669e-02;1.4000000e+00;1.6318617e-02;1.4000000e+00;1.6179761e-02;1.4000000e+00;-1.2337480e-02;1.4000000e+00;1.5401509e-02;1.4000000e+00;-1.5937774e-02;END;END
1.6000000e+00;2.3932368e-02;1.6000000e+00;2.5414012e-02;1.6000000e+00;2.6018059e-02;1.6000000e+00;7.3781940e-03;1.6000000e+00;2.5824493e-02;1.6000000e+00;7.2892159e-03;END;END;1.6000000e+00;2.3932368e-02;1.6000000e+00;2.5414012e-02;1.6000000e+00;2.6018059e-02;1.6000000e+00;7.3781940e-03;1.6000000e+00;2.5824493e-02;1.6000000e+00;7.2892159e-03;END;END;1.6000000e+00;2.3932368e-02;1.6000000e+00;2.5414012e-02;1.6000000e+00;2.6018059e-02;1.6000000e+00;7.3781940e-03;1.6000000e+00;2.5824493e-02;1.6000000e+00;7.2892159e-03;END;END;1.6000000e+00;2.3932368e-02;1.6000000e+00;2.5414012e-02;1.6000000e+00;2.6018059e-02;1.6000000e+00;7.3781940e-03;1.6000000e+00;2.5824493e-02;1.6000000e+00;7.2892159e-03;END;END;1.6000000e+00;2.3932368e-02;1.6000000e+00;2.5414012e-02;1.6000000e+00;2.6018059e-02;1.6000000e+00;7.3781940e-03;1.6000000e+00;2.5824493e-02;1.6000000e+00;7.2892159e-03;END;END;1.6000000e+00;2.3932368e-02;1.6000000e+00;2.5414012e-02;1.6000000e+00;2.6018059e-02;1.6000000e+00;7.3781940e-03;1.6000000e+00;2.5824493e-02;1.6000000e+00;7.2892159e-03;END;END
1.8000000e+00;3.4602527e-02;1.8000000e+00;3.7406106e-02;1.8000000e+00;3.9138757e-02;1.8000000e+00;4.0189747e-02;1.8000000e+00;3.9907351e-02;1.8000000e+00;4.5631111e-02;END;END;1.8000000e+00;3.4602527e-02;1.8000000e+00;3.7406106e-02;1.8000000e+00;3.9138757e-02;1.8000000e+00;4.0189747e-02;1.8000000e+00;3.9907351e-02;1.8000000e+00;4.5631111e-02;END;END;1.8000000e+00;3.4602527e-02;1.8000000e+00;3.7406106e-02;1.8000000e+00;3.9138757e-02;1.8000000e+00;4.0189747e-02;1.8000000e+00;3.9907351e-02;1.8000000e+00;4.5631111e-02;END;END;1.8000000e+00;3.4602527e-02;1.8000000e+00;3.7406106e-02;1.8000000e+00;3.9138757e-02;1.8000000e+00;4.0189747e-02;1.8000000e+00;3.9907351e-02;1.8000000e+00;4.5631111e-02;END;END;1.8000000e+00;3.4602527e-02;1.8000000e+00;3.7406106e-02;1.8000000e+00;3.9138757e-02;1.8000000e+00;4.0189747e-02;1.8000000e+00;3.9907351e-02;1.8000000e+00;4.5631111e-02;END;END;1.8000000e+00;3.4602527e-02;1.8000000e+00;3.7406106e-02;1.8000000e+00;3.9138757e-02;1.8000000e+00;4.0189747e-02;1.8000000e+00;3.9907351e-02;1.8000000e+00;4.5631111e-02;END;END
2.0000000e+00;4.7761556e-02;2.0000000e+00;5.2342545e-02;2.0000000e+00;5.5615392e-02;2.0000000e+00;8.6123228e-02;2.0000000e+00;5.7730492e-02;2.0000000e+00;9.7908713e-02;END;END;2.0000000e+00;4.7761556e-02;2.0000000e+00;5.2342545e-02;2.0000000e+00;5.5615392e-02;2.0000000e+00;8.6123228e-02;2.0000000e+00;5.7730492e-02;2.0000000e+00;9.7908713e-02;END;END;2.0000000e+00;4.7761556e-02;2.0000000e+00;5.2342545e-02;2.0000000e+00;5.5615392e-02;2.0000000e+00;8.6123228e-02;2.0000000e+00;5.7730492e-02;2.0000000e+00;9.7908713e-02;END;END;2.0000000e+00;4.7761556e-02;2.0000000e+00;5.2342545e-02;2.0000000e+00;5.5615392e-02;2.0000000e+00;8.6123228e-02;2.0000000e+00;5.7730492e-02;2.0000000e+00;9.7908713e-02;END;END;2.0000000e+00;4.7761556e-02;2.0000000e+00;5.2342545e-02;2.0000000e+00;5.5615392e-02;2.0000000e+00;8.6123228e-02;2.0000000e+00;5.7730492e-02;2.0000000e+00;9.7908713e-02;END;END;2.0000000e+00;4.7761556e-02;2.0000000e+00;5.2342545e-02;2.0000000e+00;5.5615392e-02;2.0000000e+00;8.6123228e-02;2.0000000e+00;5.7730492e-02;2.0000000e+00;9.7908713e-02;END;END
2.2000000e+00;6.3570686e-02;2.2000000e+00;7.0332393e-02;2.2000000e+00;7.5498499e-02;2.2000000e+00;1.4101388e-01;2.2000000e+00;7.9419628e-02;2.2000000e+00;1.5531532e-01;END;END;2.2000000e+00;6.3570686e-02;2.2000000e+00;7.0332393e-02;2.2000000e+00;7.5498499e-02;2.2000000e+00;1.4101388e-01;2.2000000e+00;7.9419628e-02;2.2000000e+00;1.5531532e-01;END;END;2.2000000e+00;6.3570686e-02;2.2000000e+00;7.0332393e-02;2.2000000e+00;7.5498499e-02;2.2000000e+00;1.4101388e-01;2.2000000e+00;7.9419628e-02;2.2000000e+00;1.5531532e-01;END;END;2.2000000e+00;6.3570686e-02;2.2000000e+00;7.0332393e-02;2.2000000e+00;7.5498499e-02;2.2000000e+00;1.4101388e-01;2.2000000e+00;7.9419628e-02;2.2000000e+00;1.5531532e-01;END;END;2.2000000e+00;6.3570686e-02;2.2000000e+00;7.0332393e-02;2.2000000e+00;7.5498499e-02;2.2000000e+00;1.4101388e-01;2.2000000e+00;7.9419628e-02;2.2000000e+00;1.5531532e-01;END;END;2.2000000e+00;6.3570686e-02;2.2000000e+00;7.0332393e-02;2.2000000e+00;7.5498499e-02;2.2000000e+00;1.4101388e-01;2.2000000e+00;7.9419628e-02;2.2000000e+00;1.5531532e-01;END;END
2.4000001e+00;8.1744246e-02;2.4000001e+00;9.1100782e-02;2.4000001e+00;9.8773241e-02;2.4000001e+00;1.9343369e-01;2.4000001e+00;1.0483772e-01;2.4000001e+00;2.0486136e-01;END;END;2.4000001e+00;8.1744246e-02;2.4000001e+00;9.1100782e-02;2.4000001e+00;9.8773241e-02;2.4000001e+00;1.9343369e-01;2.4000001e+00;1.0483772e-01;2.4000001e+00;2.0486136e-01;END;END;2.4000001e+00;8.1744246e-02;2.4000001e+00;9.1100782e-02;2.4000001e+00;9.8773241e-02;2.4000001e+00;1.9343369e-01;2.4000001e+00;1.0483772e-01;2.4000001e+00;2.0486136e-01;END;END;2.4000001e+00;8.1744246e-02;2.4000001e+00;9.1100782e-02;2.4000001e+00;9.8773241e-02;2.4000001e+00;1.9343369e-01;2.4000001e+00;1.0483772e-01;2.4000001e+00;2.0486136e-01;END;END;2.4000001e+00;8.1744246e-02;2.4000001e+00;9.1100782e-02;2.4000001e+00;9.8773241e-02;2.4000001e+00;1.9343369e-01;2.4000001e+00;1.0483772e-01;2.4000001e+00;2.0486136e-01;END;END;2.4000001e+00;8.1744246e-02;2.4000001e+00;9.1100782e-02;2.4000001e+00;9.8773241e-02;2.4000001e+00;1.9343369e-01;2.4000001e+00;1.0483772e-01;2.4000001e+00;2.0486136e-01;END;END
2.5999999e+00;1.0204967e-01;2.5999999e+00;1.1435559e-01;2.5999999e+00;1.2467658e-01;2.5999999e+00;2.3169196e-01;2.5999999e+00;1.3328846e-01;2.5999999e+00;2.3573156e-01;END;END;2.5999999e+00;1.0204967e-01;2.5999999e+00;1.1435559e-01;2.5999999e+00;1.2467658e-01;2.5999999e+00;2.3169196e-01;2.5999999e+00;1.3328846e-01;2.5999999e+00;2.3573156e-01;END;END;2.5999999e+00;1.0204967e-01;2.5999999e+00;1.1435559e-01;2.5999999e+00;1.2467658e-01;2.5999999e+00;2.3169196e-01;2.5999999e+00;1.3328846e-01;2.5999999e+00;2.3573156e-01;END;END;2.5999999e+00;1.0204967e-01;2.5999999e+00;1.1435559e-01;2.5999999e+00;1.2467658e-01;2.5999999e+00;2.3169196e-01;2.5999999e+00;1.3328846e-01;2.5999999e+00;2.3573156e-01;END;END;2.5999999e+00;1.0204967e-01;2.5999999e+00;1.1435559e-01;2.5999999e+00;1.2467658e-01;2.5999999e+00;2.3169196e-01;2.5999999e+00;1.3328846e-01;2.5999999e+00;2.3573156e-01;END;END;2.5999999e+00;1.0204967e-01;2.5999999e+00;1.1435559e-01;2.5999999e+00;1.2467658e-01;2.5999999e+00;2.3169196e-01;2.5999999e+00;1.3328846e-01;2.5999999e+00;2.3573156e-01;END;END
2.8000000e+00;1.2352871e-01;2.8000000e+00;1.3875610e-01;2.8000000e+00;1.5171300e-01;2.8000000e+00;2.4423161e-01;2.8000000e+00;1.6249204e-01;2.8000000e+00;2.3548281e-01;END;END;2.8000000e+00;1.2352871e-01;2.8000000e+00;1.3875610e-01;2.8000000e+00;1.5171300e-01;2.8000000e+00;2.4423161e-01;2.8000000e+00;1.6249204e-01;2.8000000e+00;2.3548281e-01;END;END;2.8000000e+00;1.2352871e-01;2.8000000e+00;1.3875610e-01;2.8000000e+00;1.5171300e-01;2.8000000e+00;2.4423161e-01;2.8000000e+00;1.6249204e-01;2.8000000e+00;2.3548281e-01;END;END;2.8000000e+00;1.2352871e-01;2.8000000e+00;1.3875610e-01;2.8000000e+00;1.5171300e-01;2.8000000e+00;2.4423161e-01;2.8000000e+00;1.6249204e-01;2.8000000e+00;2.3548281e-01;END;END;2.8000000e+00;1.2352871e-01;2.8000000e+00;1.3875610e-01;2.8000000e+00;1.5171300e-01;2.8000000e+00;2.4423161e-01;2.8000000e+00;1.6249204e-01;2.8000000e+00;2.3548281e-01;END;END;2.8000000e+00;1.2352871e-01;2.8000000e+00;1.3875610e-01;2.8000000e+00;1.5171300e-01;2.8000000e+00;2.4423161e-01;2.8000000e+00;1.6249204e-01;2.8000000e+00;2.3548281e-01;END;END
